date,time,batteryVoltage,batteryCurrent,panelVoltage,panelPower
25/3/2015,10:45:11 AM,25330,400,30730,10
25/3/2015,10:45:12 AM,25330,400,30960,10
25/3/2015,10:45:12 AM,25330,400,31260,11
25/3/2015,10:45:13 AM,25330,400,31020,11
25/3/2015,10:45:13 AM,25330,400,30950,11
25/3/2015,10:45:14 AM,25330,400,34240,11
25/3/2015,10:45:14 AM,25330,400,38460,12
25/3/2015,10:45:15 AM,25330,400,43060,12
25/3/2015,10:45:15 AM,25330,500,41390,13
25/3/2015,10:45:16 AM,25330,400,35520,13
25/3/2015,10:45:16 AM,25330,400,33280,13
25/3/2015,10:45:17 AM,25330,400,31130,12
25/3/2015,10:45:17 AM,25330,400,31400,12
25/3/2015,10:45:18 AM,25330,400,31590,12
25/3/2015,10:45:18 AM,25330,400,30410,13
25/3/2015,10:45:19 AM,25330,400,29010,13
25/3/2015,10:45:19 AM,25350,400,29970,12
25/3/2015,10:45:20 AM,25360,500,31360,13
25/3/2015,10:45:20 AM,25370,500,31640,13
25/3/2015,10:45:21 AM,25380,500,31480,13
25/3/2015,10:45:21 AM,25380,500,32540,14
25/3/2015,10:45:22 AM,25380,500,35160,14
25/3/2015,10:45:22 AM,25380,500,42490,15
25/3/2015,10:45:23 AM,25380,400,47620,14
25/3/2015,10:45:23 AM,25380,600,43090,15
25/3/2015,10:45:24 AM,25380,600,35910,16
25/3/2015,10:45:24 AM,25380,500,33550,15
25/3/2015,10:45:25 AM,25380,500,33340,14
25/3/2015,10:45:25 AM,25380,500,35770,15
25/3/2015,10:45:26 AM,25380,600,43430,15
25/3/2015,10:45:26 AM,25390,600,49360,15
25/3/2015,10:45:27 AM,25400,700,44550,17
25/3/2015,10:45:27 AM,25410,700,36510,19
25/3/2015,10:45:28 AM,25430,700,34740,20
25/3/2015,10:45:28 AM,25450,800,32770,21
25/3/2015,10:45:29 AM,25450,900,33250,23
25/3/2015,10:45:29 AM,25460,1000,31820,25
25/3/2015,10:45:30 AM,25510,1000,30640,27
25/3/2015,10:45:30 AM,25520,1100,29950,29
25/3/2015,10:45:31 AM,25530,1200,31900,31
25/3/2015,10:45:31 AM,25580,1300,35090,33
25/3/2015,10:45:32 AM,25580,1300,35180,34
25/3/2015,10:45:32 AM,25400,0,57140,8
25/3/2015,10:45:33 AM,25430,400,56560,7
25/3/2015,10:45:33 AM,25530,1300,54400,22
25/3/2015,10:45:34 AM,25620,1600,51310,38
25/3/2015,10:45:34 AM,25640,1700,46760,43
25/3/2015,10:45:35 AM,25700,1700,49080,45
25/3/2015,10:45:35 AM,25670,1600,50380,43
25/3/2015,10:45:36 AM,25690,1500,49530,43
25/3/2015,10:45:36 AM,25700,1500,43510,43
25/3/2015,10:45:37 AM,25700,1600,51300,42
25/3/2015,10:45:37 AM,25750,1700,51030,44
25/3/2015,10:45:38 AM,25770,1600,47860,45
25/3/2015,10:45:38 AM,25780,1800,48160,47
25/3/2015,10:45:39 AM,25780,1700,51860,46
25/3/2015,10:45:39 AM,25800,1800,47150,47
25/3/2015,10:45:40 AM,25830,1800,49600,48
25/3/2015,10:45:40 AM,25830,1700,50750,47
25/3/2015,10:45:41 AM,25850,1800,45430,49
25/3/2015,10:45:41 AM,25850,1800,51150,49
25/3/2015,10:45:42 AM,25850,1800,50530,49
25/3/2015,10:45:42 AM,25890,1800,49640,49
25/3/2015,10:45:43 AM,25900,1900,48650,50
25/3/2015,10:45:43 AM,25900,1800,52240,48
25/3/2015,10:45:44 AM,25910,1800,47650,49
25/3/2015,10:45:45 AM,25950,1900,49890,50
25/3/2015,10:45:46 AM,25920,1700,51040,49
25/3/2015,10:45:47 AM,25960,1700,45310,50
25/3/2015,10:45:48 AM,25960,1800,51100,49
25/3/2015,10:45:48 AM,25960,1800,44900,50
25/3/2015,10:45:48 AM,25980,1900,51810,50
25/3/2015,10:45:48 AM,25990,1800,49280,51
25/3/2015,10:45:49 AM,26030,1900,49080,52
25/3/2015,10:45:49 AM,26030,1900,49020,52
25/3/2015,10:45:49 AM,26030,1800,48210,50
25/3/2015,10:45:50 AM,25980,1600,50250,46
25/3/2015,10:45:50 AM,25980,1500,49050,44
25/3/2015,10:45:50 AM,25980,1600,43060,44
25/3/2015,10:45:51 AM,25980,1600,51230,43
25/3/2015,10:45:51 AM,25960,1400,45880,42
25/3/2015,10:45:51 AM,25910,1300,45660,37
25/3/2015,10:45:52 AM,25860,1000,43300,30
25/3/2015,10:45:53 AM,25850,800,40580,24
25/3/2015,10:45:54 AM,25810,700,38380,21
25/3/2015,10:45:54 AM,25780,700,44660,20
25/3/2015,10:45:54 AM,25780,600,47990,19
25/3/2015,10:45:55 AM,25780,800,47440,21
25/3/2015,10:45:55 AM,25800,900,41790,25
25/3/2015,10:45:56 AM,25780,1000,44860,25
25/3/2015,10:45:56 AM,25780,900,44060,25
25/3/2015,10:45:56 AM,25780,900,46120,24
25/3/2015,10:45:57 AM,25780,700,36870,23
25/3/2015,10:45:57 AM,25770,800,45170,21
25/3/2015,10:45:58 AM,25770,800,46080,22
25/3/2015,10:45:59 AM,25770,800,38800,23
25/3/2015,10:45:59 AM,25740,800,35380,22
25/3/2015,10:46:00 AM,25720,700,32990,21
25/3/2015,10:46:00 AM,25720,800,33280,21
25/3/2015,10:46:01 AM,25720,800,32020,22
25/3/2015,10:46:01 AM,25720,900,30740,23
25/3/2015,10:46:01 AM,25740,900,30140,25
25/3/2015,10:46:03 AM,25770,1000,30590,26
25/3/2015,10:46:03 AM,25770,1100,31490,28
25/3/2015,10:46:04 AM,25780,1300,32930,32
25/3/2015,10:46:04 AM,25830,1400,34360,36
25/3/2015,10:46:05 AM,25850,1700,38330,42
25/3/2015,10:46:05 AM,25900,1800,40900,46
25/3/2015,10:46:05 AM,25910,1800,44490,48
25/3/2015,10:46:06 AM,25950,1800,51920,50
25/3/2015,10:46:06 AM,25980,1800,47790,52
25/3/2015,10:46:06 AM,25980,1900,51540,51
25/3/2015,10:46:07 AM,25980,1900,51380,51
25/3/2015,10:46:07 AM,26030,2000,48780,52
25/3/2015,10:46:08 AM,26010,1800,50680,50
25/3/2015,10:46:08 AM,26030,2000,49590,52
25/3/2015,10:46:09 AM,26030,1800,52780,50
25/3/2015,10:46:09 AM,26040,1900,48530,51
25/3/2015,10:46:10 AM,26040,1900,50400,51
